date value parameter land_use
2012-1-5 0 dsc loc2
2012-1-5 0 infil2 loc3
2012-1-5 0 infil loc3
2012-1-5 0 toDistribute loc3
2012-1-5 0 dailySurplus loc3
2012-1-5 225 availablePoreDepth loc3
2012-1-5 500 EHD loc3
2012-1-5 3582.69 SD loc3
2012-1-5 -4.08269 G loc3
2012-1-5 0.45 theta_EHD loc3
2012-1-5 225 sw_EHD loc3
2012-1-5 0.449969 theta_soil loc3
2012-1-5 0 dsc loc3
2012-1-6 0 infil2 loc1
2012-1-6 0 infil loc1
2012-1-6 0 toDistribute loc1
2012-1-6 0 dailySurplus loc1
2012-1-6 7.88835 availablePoreDepth loc1
2012-1-6 111.111 EHD loc1
2012-1-6 2140.67 SD loc1
2012-1-6 -2.25179 G loc1
2012-1-6 0.379005 theta_EHD loc1
2012-1-6 42.1116 sw_EHD loc1
2012-1-6 0.275976 theta_soil loc1
2012-1-6 0 dsc loc1
2012-1-6 0 infil2 loc2
2012-1-6 0 infil loc2
2012-1-6 0 toDistribute loc2
2012-1-6 0 dailySurplus loc2
2012-1-6 33.3276 availablePoreDepth loc2
2012-1-6 250 EHD loc2
2012-1-6 3570.69 SD loc2
2012-1-6 -3.82069 G loc2
2012-1-6 0.36669 theta_EHD loc2
2012-1-6 91.6724 sw_EHD loc2
2012-1-6 0.344177 theta_soil loc2
2012-1-6 0 dsc loc2
2012-1-6 0 infil2 loc3
2012-1-6 0 infil loc3
2012-1-6 0 toDistribute loc3
2012-1-6 0 dailySurplus loc3
2012-1-6 225 availablePoreDepth loc3
2012-1-6 500 EHD loc3
2012-1-6 3582.76 SD loc3
2012-1-6 -4.08276 G loc3
2012-1-6 0.45 theta_EHD loc3
2012-1-6 225 sw_EHD loc3
2012-1-6 0.44996 theta_soil loc3
2012-1-6 0 dsc loc3
2012-1-7 0 infil2 loc1
2012-1-7 0 infil loc1
2012-1-7 0 toDistribute loc1
2012-1-7 0 dailySurplus loc1
2012-1-7 7.88835 availablePoreDepth loc1
2012-1-7 111.111 EHD loc1
2012-1-7 2140.63 SD loc1
2012-1-7 -2.25174 G loc1
2012-1-7 0.379005 theta_EHD loc1
2012-1-7 42.1116 sw_EHD loc1
2012-1-7 0.275982 theta_soil loc1
2012-1-7 0 dsc loc1
2012-1-7 0 infil2 loc2
2012-1-7 0 infil loc2
2012-1-7 0 toDistribute loc2
2012-1-7 0 dailySurplus loc2
2012-1-7 33.3276 availablePoreDepth loc2
2012-1-7 250 EHD loc2
2012-1-7 3570.56 SD loc2
2012-1-7 -3.82056 G loc2
2012-1-7 0.36669 theta_EHD loc2
2012-1-7 91.6724 sw_EHD loc2
2012-1-7 0.34419 theta_soil loc2
2012-1-7 0 dsc loc2
2012-1-7 0 infil2 loc3
2012-1-7 0 infil loc3
2012-1-7 0 toDistribute loc3
2012-1-7 0 dailySurplus loc3
2012-1-7 225 availablePoreDepth loc3
2012-1-7 500 EHD loc3
2012-1-7 3582.84 SD loc3
2012-1-7 -4.08284 G loc3
2012-1-7 0.45 theta_EHD loc3
2012-1-7 225 sw_EHD loc3
2012-1-7 0.44995 theta_soil loc3
2012-1-7 0 dsc loc3
2012-1-8 0 infil2 loc1
2012-1-8 0 infil loc1
2012-1-8 0 toDistribute loc1
2012-1-8 0 dailySurplus loc1
2012-1-8 7.88835 availablePoreDepth loc1
2012-1-8 111.111 EHD loc1
2012-1-8 2140.58 SD loc1
2012-1-8 -2.25169 G loc1
2012-1-8 0.379005 theta_EHD loc1
2012-1-8 42.1116 sw_EHD loc1
2012-1-8 0.275988 theta_soil loc1
2012-1-8 0 dsc loc1
2012-1-8 0 infil2 loc2
2012-1-8 0 infil loc2
2012-1-8 0 toDistribute loc2
2012-1-8 0 dailySurplus loc2
2012-1-8 33.3276 availablePoreDepth loc2
2012-1-8 250 EHD loc2
2012-1-8 3570.42 SD loc2
2012-1-8 -3.82042 G loc2
2012-1-8 0.36669 theta_EHD loc2
2012-1-8 91.6724 sw_EHD loc2
2012-1-8 0.344203 theta_soil loc2
2012-1-8 0 dsc loc2
2012-1-8 0 infil2 loc3
2012-1-8 0 infil loc3
2012-1-8 0 toDistribute loc3
2012-1-8 0 dailySurplus loc3
2012-1-8 225 availablePoreDepth loc3
2012-1-8 500 EHD loc3
2012-1-8 3582.9 SD loc3
2012-1-8 -4.0829 G loc3
2012-1-8 0.45 theta_EHD loc3
2012-1-8 225 sw_EHD loc3
2012-1-8 0.449943 theta_soil loc3
2012-1-8 0 dsc loc3
2012-1-9 0 infil2 loc1
2012-1-9 0 infil loc1
2012-1-9 0 toDistribute loc1
2012-1-9 0 dailySurplus loc1
2012-1-9 7.88835 availablePoreDepth loc1
2012-1-9 111.111 EHD loc1
2012-1-9 2140.54 SD loc1
2012-1-9 -2.25165 G loc1
2012-1-9 0.379005 theta_EHD loc1
2012-1-9 42.1116 sw_EHD loc1
2012-1-9 0.275994 theta_soil loc1
2012-1-9 0 dsc loc1
2012-1-9 0 infil2 loc2
2012-1-9 0 infil loc2
2012-1-9 0 toDistribute loc2
2012-1-9 0 dailySurplus loc2
2012-1-9 33.3276 availablePoreDepth loc2
2012-1-9 250 EHD loc2
2012-1-9 3570.28 SD loc2
2012-1-9 -3.82028 G loc2
2012-1-9 0.36669 theta_EHD loc2
2012-1-9 91.6724 sw_EHD loc2
2012-1-9 0.344216 theta_soil loc2
2012-1-9 0 dsc loc2
2012-1-9 0 infil2 loc3
2012-1-9 0 infil loc3
2012-1-9 0 toDistribute loc3
2012-1-9 0 dailySurplus loc3
2012-1-9 225 availablePoreDepth loc3
2012-1-9 500 EHD loc3
2012-1-9 3582.98 SD loc3
2012-1-9 -4.08298 G loc3
2012-1-9 0.45 theta_EHD loc3
2012-1-9 225 sw_EHD loc3
2012-1-9 0.449933 theta_soil loc3
2012-1-9 0 dsc loc3
2012-1-10 0 infil2 loc1
2012-1-10 0 infil loc1
2012-1-10 0 toDistribute loc1
2012-1-10 0 dailySurplus loc1
2012-1-10 7.88835 availablePoreDepth loc1
2012-1-10 111.111 EHD loc1
2012-1-10 2140.49 SD loc1
2012-1-10 -2.2516 G loc1
2012-1-10 0.379005 theta_EHD loc1
2012-1-10 42.1116 sw_EHD loc1
2012-1-10 0.276 theta_soil loc1
2012-1-10 0 dsc loc1
2012-1-10 0 infil2 loc2
2012-1-10 0 infil loc2
2012-1-10 0 toDistribute loc2
2012-1-10 0 dailySurplus loc2
2012-1-10 33.3276 availablePoreDepth loc2
2012-1-10 250 EHD loc2
2012-1-10 3570.14 SD loc2
2012-1-10 -3.82014 G loc2
2012-1-10 0.36669 theta_EHD loc2
2012-1-10 91.6724 sw_EHD loc2
2012-1-10 0.344229 theta_soil loc2
2012-1-10 0 dsc loc2
2012-1-10 0 infil2 loc3
2012-1-10 0 infil loc3
2012-1-10 0 toDistribute loc3
2012-1-10 0 dailySurplus loc3
2012-1-10 225 availablePoreDepth loc3
2012-1-10 500 EHD loc3
2012-1-10 3583.05 SD loc3
2012-1-10 -4.08305 G loc3
