date Q_m3d source
2012-2-26 0 lake
2012-2-27 3435.73 drain
2012-2-27 101571 overland
2012-2-27 25.7935 stream
2012-2-27 0 lake
2012-2-28 7899.94 drain
2012-2-28 245556 overland
2012-2-28 25.8283 stream
2012-2-28 0 lake
2012-3-1 9585.77 drain
2012-3-1 42883.4 overland
2012-3-1 25.8626 stream
2012-3-1 0 lake
2012-3-2 12019.7 drain
2012-3-2 51364.8 overland
2012-3-2 25.8969 stream
2012-3-2 0 lake
2012-3-3 22836.9 drain
2012-3-3 112436 overland
2012-3-3 25.9307 stream
2012-3-3 0 lake
2012-3-4 6398.64 drain
2012-3-4 89998.2 overland
2012-3-4 25.9643 stream
2012-3-4 0 lake
2012-3-5 4164.88 drain
2012-3-5 99039.9 overland
2012-3-5 25.9977 stream
2012-3-5 0 lake
2012-3-6 6251.94 drain
2012-3-6 97304.7 overland
2012-3-6 26.0308 stream
2012-3-6 0 lake
2012-3-7 4429.16 drain
2012-3-7 91648.3 overland
2012-3-7 26.0635 stream
2012-3-7 0 lake
2012-3-8 6144.69 drain
2012-3-8 77705.9 overland
2012-3-8 26.0961 stream
2012-3-8 0 lake
2012-3-9 5909.37 drain
2012-3-9 82340.2 overland
2012-3-9 26.1281 stream
2012-3-9 0 lake
2012-3-10 5758.5 drain
2012-3-10 82661.8 overland
2012-3-10 26.1601 stream
2012-3-10 0 lake
2012-3-11 18931.1 drain
2012-3-11 86801.8 overland
2012-3-11 26.1915 stream
2012-3-11 0 lake
2012-3-12 17255.8 drain
2012-3-12 96018.5 overland
2012-3-12 26.2226 stream
2012-3-12 0 lake
2012-3-13 35029 drain
2012-3-13 224127 overland
2012-3-13 26.2538 stream
2012-3-13 0 lake
2012-3-14 56688.8 drain
2012-3-14 376268 overland
2012-3-14 26.2843 stream
2012-3-14 0 lake
2012-3-15 54035.5 drain
2012-3-15 375000 overland
2012-3-15 26.315 stream
2012-3-15 0 lake
2012-3-16 23058.3 drain
2012-3-16 141866 overland
2012-3-16 26.3453 stream
2012-3-16 0 lake
2012-3-17 11632.2 drain
2012-3-17 63717.8 overland
2012-3-17 26.3755 stream
2012-3-17 0 lake
2012-3-18 10545 drain
2012-3-18 75311.2 overland
2012-3-18 26.4049 stream
2012-3-18 0 lake
2012-3-19 11154.2 drain
2012-3-19 79842.3 overland
2012-3-19 26.4342 stream
2012-3-19 0 lake
2012-3-20 9240.95 drain
2012-3-20 82742.6 overland
2012-3-20 26.4635 stream
2012-3-20 0 lake
2012-3-21 13120.4 drain
2012-3-21 124008 overland
2012-3-21 26.4924 stream
2012-3-21 0 lake
2012-3-22 8460.05 drain
2012-3-22 74170.6 overland
2012-3-22 26.5212 stream
2012-3-22 0 lake
2012-3-23 8125.44 drain
2012-3-23 86663.8 overland
2012-3-23 26.5497 stream
2012-3-23 0 lake
2012-3-24 8064.03 drain
2012-3-24 91219.6 overland
2012-3-24 26.578 stream
2012-3-24 0 lake
2012-3-25 7844.05 drain
2012-3-25 93694.9 overland
2012-3-25 26.6059 stream
2012-3-25 0 lake
2012-3-26 7807.35 drain
2012-3-26 95597 overland
2012-3-26 26.6337 stream
2012-3-26 0 lake
2012-3-27 7850.59 drain
2012-3-27 97404.4 overland
2012-3-27 26.6613 stream
2012-3-27 0 lake
2012-3-28 7884.02 drain
2012-3-28 99145.9 overland
2012-3-28 26.6886 stream
2012-3-28 0 lake
2012-3-29 7968.68 drain
2012-3-29 100955 overland
2012-3-29 26.7156 stream
2012-3-29 0 lake
2012-3-30 8886.58 drain
2012-3-30 103353 overland
2012-3-30 26.7425 stream
2012-3-30 0 lake
2012-3-31 8624.81 drain
2012-3-31 105599 overland
2012-3-31 26.769 stream
2012-3-31 0 lake
2012-4-1 8401.79 drain
2012-4-1 107385 overland
2012-4-1 26.7954 stream
2012-4-1 0 lake
2012-4-2 8525.29 drain
2012-4-2 109016 overland
2012-4-2 26.8215 stream
2012-4-2 0 lake
2012-4-3 8621.96 drain
2012-4-3 240586 overland
2012-4-3 26.8474 stream
2012-4-3 0 lake
2012-4-4 8735.55 drain
2012-4-4 267097 overland
2012-4-4 26.873 stream
2012-4-4 0 lake
2012-4-5 8857.4 drain
2012-4-5 444481 overland
2012-4-5 26.8984 stream
2012-4-5 0 lake
2012-4-6 9850.28 drain
2012-4-6 436755 overland
2012-4-6 26.9238 stream
2012-4-6 0 lake
2012-4-7 9620.24 drain
2012-4-7 91498.7 overland
2012-4-7 26.9488 stream
2012-4-7 0 lake
2012-4-8 9382.12 drain
2012-4-8 109880 overland
2012-4-8 26.9737 stream
2012-4-8 0 lake
2012-4-9 9498.8 drain
2012-4-9 117245 overland
2012-4-9 26.9984 stream
2012-4-9 0 lake
2012-4-10 10110.8 drain
2012-4-10 119976 overland
2012-4-10 27.0228 stream
2012-4-10 0 lake
2012-4-11 10359.6 drain
2012-4-11 123111 overland
2012-4-11 27.0471 stream
2012-4-11 0 lake
2012-4-12 52285 drain
2012-4-12 453526 overland
2012-4-12 27.0711 stream
2012-4-12 0 lake
2012-4-13 32385.6 drain
2012-4-13 279278 overland
2012-4-13 27.0948 stream
2012-4-13 0 lake
2012-4-14 14624.7 drain
2012-4-14 174066 overland
2012-4-14 27.1185 stream
2012-4-14 0 lake
2012-4-15 13773.5 drain
2012-4-15 160763 overland
2012-4-15 27.1419 stream
2012-4-15 0 lake
2012-4-16 14139 drain
2012-4-16 175457 overland
2012-4-16 27.1651 stream
2012-4-16 0 lake
2012-4-17 18605 drain
2012-4-17 188829 overland
2012-4-17 27.1881 stream
2012-4-17 0 lake
2012-4-18 12944.2 drain
2012-4-18 156690 overland
2012-4-18 27.211 stream
2012-4-18 0 lake
2012-4-19 14721.5 drain
2012-4-19 582010 overland
2012-4-19 27.2335 stream
2012-4-19 0 lake
2012-4-20 23103.4 drain
2012-4-20 166961 overland
2012-4-20 27.2559 stream
2012-4-20 0 lake
2012-4-21 13239.4 drain
2012-4-21 127082 overland
2012-4-21 27.2782 stream
2012-4-21 0 lake
2012-4-22 32040.4 drain
2012-4-22 223856 overland
2012-4-22 27.3002 stream
2012-4-22 0 lake
2012-4-23 16634.7 drain
2012-4-23 147968 overland
2012-4-23 27.3222 stream
2012-4-23 0 lake
2012-4-24 31780.3 drain
2012-4-24 284358 overland
2012-4-24 27.3438 stream
2012-4-24 0 lake
2012-4-25 18900.1 drain
2012-4-25 190660 overland
2012-4-25 27.3653 stream
2012-4-25 0 lake
2012-4-26 15669.6 drain
2012-4-26 176053 overland
2012-4-26 27.3867 stream
2012-4-26 0 lake
2012-4-27 14702.7 drain
2012-4-27 160254 overland
2012-4-27 27.408 stream
2012-4-27 0 lake
2012-4-28 45244.2 drain
2012-4-28 356139 overland
2012-4-28 27.4289 stream
2012-4-28 0 lake
2012-4-29 21506.8 drain
2012-4-29 200899 overland
2012-4-29 27.4498 stream
2012-4-29 0 lake
2012-4-30 16388.3 drain
2012-4-30 185482 overland
2012-4-30 27.4707 stream
2012-4-30 0 lake
2012-5-1 15853.3 drain
2012-5-1 181386 overland
2012-5-1 27.4911 stream
2012-5-1 0 lake
2012-5-2 17721.5 drain
2012-5-2 218193 overland
2012-5-2 27.5115 stream
2012-5-2 0 lake
2012-5-3 15329.3 drain
2012-5-3 193665 overland
2012-5-3 27.5318 stream
2012-5-3 0 lake
