date q_drain q_overland q_stream q_lake e_drain e_overland e_gully
2012-4-6 9850.28 436755 26.9238 0 0 0 0
2012-4-7 9620.24 91498.7 26.9488 0 0 0 0
2012-4-8 9382.12 109880 26.9737 0 0 0 0
2012-4-9 9498.8 117245 26.9984 0 0 0 0
2012-4-10 10110.8 119976 27.0228 0 0 0 0
2012-4-11 10359.6 123111 27.0471 0 0 0 0
2012-4-12 52285 453526 27.0711 0 0 0 0
2012-4-13 32385.6 279278 27.0948 0 0 0 0
2012-4-14 14624.7 174066 27.1185 0 0 0 0
2012-4-15 13773.5 160763 27.1419 0 0 0 0
2012-4-16 14139 175457 27.1651 0 0 0 0
2012-4-17 18605 188829 27.1881 0 0 0 0
2012-4-18 12944.2 156690 27.211 0 0 0 0
2012-4-19 14721.5 582010 27.2335 0 0 0 0
2012-4-20 23103.4 166961 27.2559 0 0 0 0
2012-4-21 13239.4 127082 27.2782 0 0 0 0
2012-4-22 32040.4 223856 27.3002 0 0 0 0
2012-4-23 16634.7 147968 27.3222 0 0 0 0
2012-4-24 31780.3 284358 27.3438 0 0 0 0
2012-4-25 18900.1 190660 27.3653 0 0 0 0
2012-4-26 15669.6 176053 27.3867 0 0 0 0
2012-4-27 14702.7 160254 27.408 0 0 0 0
2012-4-28 45244.2 356139 27.4289 0 0 0 0
2012-4-29 21506.8 200899 27.4498 0 0 0 0
2012-4-30 16388.3 185482 27.4707 0 0 0 0
2012-5-1 15853.3 181386 27.4911 0 0 0 0
2012-5-2 17721.5 218193 27.5115 0 0 0 0
2012-5-3 15329.3 193665 27.5318 0 0 0 0
2012-5-4 14994 194387 27.5518 0 0 0 0
2012-5-5 20168.9 225794 27.5718 0 0 0 0
2012-5-6 29262.4 250004 27.5916 0 0 0 0
2012-5-7 22499.8 218965 27.6113 0 0 0 0
2012-5-8 16602.7 215896 27.6309 0 0 0 0
2012-5-9 16308.3 202748 27.6502 0 0 0 0
2012-5-10 36416.7 455424 27.6693 0 0 0 0
2012-5-11 23233.2 257078 27.6883 0 0 0 0
2012-5-12 47833.3 516458 27.7072 0 0 0 0
2012-5-13 53882.5 533131 27.7259 0 0 0 0
2012-5-14 22068.9 224302 27.7446 0 0 0 0
2012-5-15 31354 262081 27.7629 0 0 0 0
2012-5-16 22843.1 223955 27.7811 0 0 0 0
2012-5-17 20794 213086 27.7992 0 0 0 0
2012-5-18 29428 271354 27.817 0 0 0 0
2012-5-19 22519.3 230796 27.8347 0 0 0 0
2012-5-20 19612.2 228462 27.8523 0 0 0 0
2012-5-21 36604.3 397088 27.8697 0 0 0 0
2012-5-22 21111.9 223763 27.8871 0 0 0 0
2012-5-23 20432.1 242170 27.9041 0 0 0 0
2012-5-24 19925.9 257780 27.921 0 0 0 0
2012-5-25 19499.3 262979 27.9377 0 0 0 0
2012-5-26 19111.2 255918 27.9543 0 0 0 0
2012-5-27 18855.5 254367 27.9708 0 0 0 0
2012-5-28 18694.8 253406 27.9872 0 0 0 0
2012-5-29 18614.1 267702 28.0033 0 0 0 0
2012-5-30 18631.8 270446 28.0194 0 0 0 0
2012-5-31 18635.6 271699 28.0354 0 0 0 0
2012-6-1 18703 287845 28.0511 0 0 0 0
2012-6-2 20048.8 296920 28.0669 0 0 0 0
2012-6-3 19236.1 331638 28.0825 0 0 0 0
2012-6-4 23709.3 357217 28.0979 0 0 0 0
2012-6-5 27605.7 353316 28.1132 0 0 0 0
2012-6-6 24269.5 352012 28.1285 0 0 0 0
2012-6-7 42316.7 573265 28.1435 0 0 0 0
2012-6-8 24744.5 339650 28.1585 0 0 0 0
2012-6-9 24895.1 323649 28.1733 0 0 0 0
2012-6-10 24649.4 321175 28.1879 0 0 0 0
2012-6-11 67905.1 706868 28.2025 0 0 0 0
2012-6-12 28542.8 351149 28.2169 0 0 0 0
2012-6-13 28250.8 323862 28.2313 0 0 0 0
2012-6-14 30885.5 343787 28.2454 0 0 0 0
2012-6-15 27307.2 322457 28.2593 0 0 0 0
2012-6-16 31291.1 304212 28.2732 0 0 0 0
2012-6-17 33264.9 333060 28.2869 0 0 0 0
2012-6-18 51263 599879 28.3006 0 0 0 0
2012-6-19 30117.7 364673 28.3141 0 0 0 0
2012-6-20 35878.7 360007 28.3275 0 0 0 0
2012-6-21 29724.2 329820 28.3408 0 0 0 0
2012-6-22 28316.7 298491 28.3538 0 0 0 0
2012-6-23 27014.9 311346 28.3669 0 0 0 0
2012-6-24 27191.4 323711 28.3799 0 0 0 0
2012-6-25 33179 386542 28.3925 0 0 0 0
2012-6-26 84120 902349 28.4053 0 0 0 0
2012-6-27 44988.5 454214 28.418 0 0 0 0
2012-6-28 35167.1 346532 28.4306 0 0 0 0
2012-6-29 33850.4 344029 28.443 0 0 0 0
2012-6-30 32762.4 328674 28.4551 0 0 0 0
2012-7-1 80282.5 763944 28.4672 0 0 0 0
2012-7-2 37628.5 386077 28.4793 0 0 0 0
2012-7-3 71262.4 634578 28.4914 0 0 0 0
2012-7-4 43300.1 358518 28.5034 0 0 0 0
2012-7-5 39145.7 350686 28.5152 0 0 0 0
2012-7-6 37758.7 374018 28.5268 0 0 0 0
2012-7-7 34790.6 361162 28.5383 0 0 0 0
2012-7-8 67132.1 590987 28.5497 0 0 0 0
2012-7-9 40017.9 385570 28.5611 0 0 0 0
2012-7-10 37894.1 394877 28.5724 0 0 0 0
2012-7-11 44859.4 430936 28.5836 0 0 0 0
2012-7-12 49958.2 416360 28.5946 0 0 0 0
