date	q_ls
03.11.2012	413
04.11.2012	349
05.11.2012	150
06.11.2012	103
07.11.2012	79.4
08.11.2012	65.7
09.11.2012	67.8
10.11.2012	355
11.11.2012	376
12.11.2012	175
13.11.2012	98.9
14.11.2012	96.8
15.11.2012	110
16.11.2012	80.7
17.11.2012	173
18.11.2012	736
19.11.2012	198
20.11.2012	222
21.11.2012	403
22.11.2012	272
23.11.2012	204
24.11.2012	169
25.11.2012	112
26.11.2012	88.5
27.11.2012	129
28.11.2012	142
29.11.2012	88.5
30.11.2012	65.2
01.12.2012	49.9
02.12.2012	37.6
03.12.2012	26.9
04.12.2012	20.5
05.12.2012	18.5
06.12.2012	15.9
07.12.2012	12.9
08.12.2012	12.3
09.12.2012	11.8
10.12.2012	11.1
11.12.2012	10.1
12.12.2012	7.8
13.12.2012	7.3
14.12.2012	7.4
15.12.2012	8.1
16.12.2012	29.4
17.12.2012	64.8
18.12.2012	29.3
19.12.2012	17.8
20.12.2012	14.8
21.12.2012	12.6
22.12.2012	11.8
23.12.2012	11.9
24.12.2012	12.5
25.12.2012	12.3
26.12.2012	14.1
27.12.2012	13
28.12.2012	10.6
29.12.2012	92.9
30.12.2012	946
31.12.2012	401
01.01.2013	230
02.01.2013	54.5
03.01.2013	38.4
04.01.2013	32.3
05.01.2013	25.7
06.01.2013	24.6
07.01.2013	23.6
08.01.2013	25.6
09.01.2013	22.6
10.01.2013	19.6
11.01.2013	16.4
12.01.2013	12.9
13.01.2013	9.1
14.01.2013	6.8
15.01.2013	6.9
16.01.2013	5.7
17.01.2013	5.3
18.01.2013	5.4
19.01.2013	5.2
20.01.2013	4.7
21.01.2013	4.1
22.01.2013	3.5
23.01.2013	2.8
24.01.2013	2.6
25.01.2013	2.1
26.01.2013	2.8
27.01.2013	4
28.01.2013	4.7
29.01.2013	8
30.01.2013	83.9
31.01.2013	102
01.02.2013	18.9
02.02.2013	7.5
03.02.2013	5.5
04.02.2013	5.9
05.02.2013	5.7
06.02.2013	5.4
07.02.2013	5.3
08.02.2013	5.1
09.02.2013	4.9
10.02.2013	4.9
11.02.2013	4.7
12.02.2013	4.7
13.02.2013	4.8
14.02.2013	5.1
15.02.2013	5
16.02.2013	5
17.02.2013	5.4
18.02.2013	6.1
19.02.2013	6.8
20.02.2013	6.8
21.02.2013	6.8
22.02.2013	7
23.02.2013	7.3
24.02.2013	8
25.02.2013	7.8
26.02.2013	7.6
27.02.2013	7.5
28.02.2013	7.8
01.03.2013	8
02.03.2013	9
03.03.2013	8.4
04.03.2013	7.9
05.03.2013	7.8
06.03.2013	8.8
07.03.2013	8.3
08.03.2013	7.9
09.03.2013	7.6
10.03.2013	7.2
11.03.2013	5.6
12.03.2013	3.2
13.03.2013	2.8
14.03.2013	1.7
15.03.2013	1.8
16.03.2013	2.3
17.03.2013	2.4
18.03.2013	2.2
19.03.2013	2
20.03.2013	1.9
21.03.2013	1.8
22.03.2013	1.7
23.03.2013	1.3
24.03.2013	1.7
25.03.2013	2.1
26.03.2013	2.6
27.03.2013	3.3
28.03.2013	3.9
29.03.2013	4.8
30.03.2013	6.5
31.03.2013	11.8
01.04.2013	28.3
02.04.2013	49.5
03.04.2013	88.4
04.04.2013	141
05.04.2013	187
06.04.2013	106
07.04.2013	116
08.04.2013	96
09.04.2013	78.6
10.04.2013	73
11.04.2013	28.3
12.04.2013	67.6
13.04.2013	173
14.04.2013	321
15.04.2013	479
16.04.2013	276
17.04.2013	233
18.04.2013	769
19.04.2013	323
20.04.2013	86.6
21.04.2013	50.9
22.04.2013	36.9
23.04.2013	35.9
24.04.2013	39.6
25.04.2013	44.5
26.04.2013	47.6
27.04.2013	42.5
28.04.2013	41.4
29.04.2013	334
30.04.2013	149
01.05.2013	82.9
02.05.2013	63.2
03.05.2013	54
04.05.2013	102
05.05.2013	94.5
06.05.2013	75.5
07.05.2013	74.6
08.05.2013	83.6
09.05.2013	179
10.05.2013	147
11.05.2013	95.5
12.05.2013	97.3
13.05.2013	305
14.05.2013	193
15.05.2013	97.6
16.05.2013	72.6
17.05.2013	57.2
18.05.2013	48.2
19.05.2013	42.7
20.05.2013	37.2
21.05.2013	41.4
22.05.2013	1192
23.05.2013	662
24.05.2013	192
25.05.2013	103
26.05.2013	69.2
27.05.2013	51.6
28.05.2013	70
29.05.2013	50.4
30.05.2013	44.7
31.05.2013	45.5
01.06.2013	59
02.06.2013	95.3
03.06.2013	50.6
04.06.2013	29
05.06.2013	21.3
06.06.2013	19.5
07.06.2013	15.2
08.06.2013	12.1
09.06.2013	9.8
10.06.2013	8.3
11.06.2013	7
12.06.2013	6.6
13.06.2013	42.4
14.06.2013	27.6
15.06.2013	13.4
16.06.2013	24.4
17.06.2013	12.3
18.06.2013	8.5
19.06.2013	9
20.06.2013	12.3
21.06.2013	16.6
22.06.2013	33.6
23.06.2013	46.5
24.06.2013	31
25.06.2013	17
26.06.2013	216
27.06.2013	460
28.06.2013	105
29.06.2013	198
30.06.2013	552
01.07.2013	104
02.07.2013	56.3
03.07.2013	39.2
04.07.2013	52
05.07.2013	34.4
06.07.2013	19.8
07.07.2013	15.4
08.07.2013	11.6
09.07.2013	9.3
10.07.2013	7.7
11.07.2013	5.6
12.07.2013	4.6
13.07.2013	4
14.07.2013	3.4
15.07.2013	2.9
16.07.2013	2.6
17.07.2013	2.3
18.07.2013	1.9
19.07.2013	1.6
20.07.2013	1.4
21.07.2013	1.3
22.07.2013	1.1
23.07.2013	1.2
24.07.2013	1.3
25.07.2013	1.7
26.07.2013	1.4
27.07.2013	1.5
28.07.2013	1.6
29.07.2013	1.6
30.07.2013	2.1
31.07.2013	2.6
01.08.2013	1.5
02.08.2013	1.4
03.08.2013	5.8
04.08.2013	2.7
05.08.2013	2.6
06.08.2013	2.9
07.08.2013	1.8
08.08.2013	4.9
09.08.2013	2.7
10.08.2013	8.9
11.08.2013	6.3
12.08.2013	3.5
13.08.2013	2.7
14.08.2013	2.7
15.08.2013	1.7
16.08.2013	9.9
17.08.2013	12.8
18.08.2013	23.4
19.08.2013	9
20.08.2013	4
21.08.2013	2.7
22.08.2013	2.1
23.08.2013	1.7
24.08.2013	1.5
25.08.2013	1.3
26.08.2013	1.2
27.08.2013	1.1
28.08.2013	1
29.08.2013	1
30.08.2013	1
31.08.2013	1.1
01.09.2013	0.9
02.09.2013	0.9
03.09.2013	0.8
04.09.2013	0.8
05.09.2013	0.7
06.09.2013	0.8
07.09.2013	0.7
08.09.2013	0.7
09.09.2013	0.6
10.09.2013	0.7
11.09.2013	4.8
12.09.2013	1.8
13.09.2013	1.1
14.09.2013	1
15.09.2013	6.9
16.09.2013	14.7
17.09.2013	40.7
18.09.2013	47.9
19.09.2013	19.2
20.09.2013	9.4
21.09.2013	6.3
22.09.2013	5.3
23.09.2013	4.3
24.09.2013	3.4
25.09.2013	3.1
26.09.2013	2.9
27.09.2013	2.7
28.09.2013	2.5
29.09.2013	2.3
30.09.2013	2.3
01.10.2013	2.2
02.10.2013	2.5
03.10.2013	3.5
04.10.2013	3.1
05.10.2013	54.6
06.10.2013	22.5
07.10.2013	12.5
08.10.2013	12
09.10.2013	10.3
10.10.2013	75.7
11.10.2013	31
12.10.2013	17.4
13.10.2013	13.3
14.10.2013	10.7
15.10.2013	9.6
16.10.2013	8.4
17.10.2013	7.9
18.10.2013	6.7
19.10.2013	6.2
20.10.2013	5.8
21.10.2013	5.4
22.10.2013	144
23.10.2013	418
24.10.2013	228
25.10.2013	72.4
26.10.2013	104
27.10.2013	510
28.10.2013	282
29.10.2013	102
30.10.2013	64
31.10.2013	62.3
01.11.2013	62.3
02.11.2013	49.8
03.11.2013	184
04.11.2013	272
05.11.2013	99.4
06.11.2013	69.9
07.11.2013	53.9
08.11.2013	47.8
09.11.2013	45.8
10.11.2013	75.7
11.11.2013	64.1
12.11.2013	201
13.11.2013	90.5
14.11.2013	119
15.11.2013	145
16.11.2013	98.2
17.11.2013	66.9
18.11.2013	92.3
19.11.2013	349
20.11.2013	104
21.11.2013	64.9
22.11.2013	44.5
23.11.2013	31.4
24.11.2013	23.3
25.11.2013	18.3
26.11.2013	16.3
27.11.2013	18
28.11.2013	16.7
29.11.2013	16.2
30.11.2013	14.8
01.12.2013	14.4
02.12.2013	12
03.12.2013	13.4
04.12.2013	13.4
05.12.2013	19.3
06.12.2013	15.6
07.12.2013	10.1
08.12.2013	8.6
09.12.2013	9.3
10.12.2013	13.3
11.12.2013	15.4
12.12.2013	85.5
13.12.2013	38.8
14.12.2013	52.3
15.12.2013	399
16.12.2013	522
17.12.2013	182
18.12.2013	94.3
19.12.2013	309
20.12.2013	263
21.12.2013	319
22.12.2013	591
23.12.2013	201
24.12.2013	1412
25.12.2013	1086
26.12.2013	325
27.12.2013	437
28.12.2013	586
29.12.2013	221
30.12.2013	138
31.12.2013	450
01.01.2014	207
02.01.2014	480
03.01.2014	653
04.01.2014	646
05.01.2014	227
06.01.2014	389
07.01.2014	388
08.01.2014	176
09.01.2014	125
10.01.2014	98.1
11.01.2014	78.1
12.01.2014	59.3
13.01.2014	45.1
14.01.2014	42.4
15.01.2014	38.9
16.01.2014	35.8
17.01.2014	32.3
18.01.2014	28.3
19.01.2014	26.1
20.01.2014	25
21.01.2014	23.7
22.01.2014	22.2
23.01.2014	21.1
24.01.2014	19.8
25.01.2014	19.8
26.01.2014	19.4
27.01.2014	19.8
28.01.2014	18.1
29.01.2014	17
30.01.2014	17.3
31.01.2014	18.1
01.02.2014	18.9
02.02.2014	82.6
03.02.2014	310
04.02.2014	164
05.02.2014	100
06.02.2014	76.2
07.02.2014	332
08.02.2014	320
09.02.2014	712
10.02.2014	1032
11.02.2014	484
12.02.2014	332
13.02.2014	319
14.02.2014	620
15.02.2014	828
16.02.2014	1378
17.02.2014	310
18.02.2014	154
19.02.2014	110
20.02.2014	89.1
21.02.2014	149
22.02.2014	551
23.02.2014	325
24.02.2014	270
25.02.2014	169
26.02.2014	227
27.02.2014	259
28.02.2014	165
01.03.2014	302
02.03.2014	316
03.03.2014	324
04.03.2014	167
05.03.2014	136
06.03.2014	204
07.03.2014	557
08.03.2014	276
09.03.2014	143
10.03.2014	111
11.03.2014	89.1
12.03.2014	77.6
13.03.2014	68.4
14.03.2014	63.3
15.03.2014	55.2
16.03.2014	48.2
17.03.2014	42.4
18.03.2014	37
19.03.2014	36.4
20.03.2014	36.7
21.03.2014	34.7
22.03.2014	33
23.03.2014	41.3
24.03.2014	30.5
25.03.2014	25.7
26.03.2014	23.1
27.03.2014	22.6
28.03.2014	21
29.03.2014	20.3
30.03.2014	20
31.03.2014	18.7
01.04.2014	17.3
02.04.2014	17.1
03.04.2014	16
04.04.2014	14.5
05.04.2014	16.2
06.04.2014	20.5
07.04.2014	89
08.04.2014	351
09.04.2014	269
10.04.2014	152
11.04.2014	99
12.04.2014	143
13.04.2014	143
14.04.2014	76.7
15.04.2014	51.7
16.04.2014	42.8
17.04.2014	96.3
18.04.2014	153
19.04.2014	76.9
20.04.2014	56.5
21.04.2014	45.1
22.04.2014	34.6
23.04.2014	26.1
24.04.2014	23
25.04.2014	21.8
26.04.2014	20.1
27.04.2014	17.8
28.04.2014	16.2
29.04.2014	14.6
30.04.2014	13.7
01.05.2014	11.9
02.05.2014	10.9
03.05.2014	10.7
04.05.2014	10
05.05.2014	9.7
06.05.2014	28.5
07.05.2014	131
08.05.2014	74.5
09.05.2014	49.8
10.05.2014	32.3
11.05.2014	25.2
12.05.2014	22.9
13.05.2014	23.4
14.05.2014	19.1
15.05.2014	15.4
16.05.2014	14.4
17.05.2014	12.9
18.05.2014	11.4
19.05.2014	11.2
20.05.2014	11.2
21.05.2014	9.3
22.05.2014	9.6
23.05.2014	9.1
24.05.2014	9.7
25.05.2014	8.4
26.05.2014	7.1
27.05.2014	5.7
28.05.2014	5.2
29.05.2014	4.8
30.05.2014	4.6
31.05.2014	4
01.06.2014	3.5
02.06.2014	3.3
03.06.2014	3.1
04.06.2014	3.7
05.06.2014	10.1
06.06.2014	5.8
07.06.2014	4.1
08.06.2014	3.5
09.06.2014	2.9
10.06.2014	2.5
11.06.2014	2.4
12.06.2014	2.1
13.06.2014	2.1
14.06.2014	1.8
15.06.2014	1.8
16.06.2014	1.9
17.06.2014	1.7
18.06.2014	1.7
19.06.2014	1.8
20.06.2014	1.6
21.06.2014	1.6
22.06.2014	1.7
23.06.2014	1.5
24.06.2014	1.5
25.06.2014	1.5
26.06.2014	4.6
27.06.2014	3.3
28.06.2014	2
29.06.2014	1.9
30.06.2014	1.7
01.07.2014	2.3
