date Q_m3d source
2012-2-26 6781.05 overland
2012-2-26 2.4563 stream
2012-2-26 0 lake
2012-2-27 10049.1 drain
2012-2-27 61936.6 overland
2012-2-27 2.34137 stream
2012-2-27 0 lake
2012-2-28 9710.26 drain
2012-2-28 11514.8 overland
2012-2-28 2.48834 stream
2012-2-28 0 lake
2012-3-1 10960.5 drain
2012-3-1 23855.6 overland
2012-3-1 2.30329 stream
2012-3-1 0 lake
2012-3-2 9451.56 drain
2012-3-2 4413.67 overland
2012-3-2 2.36826 stream
2012-3-2 0 lake
2012-3-3 9213.24 drain
2012-3-3 605.972 overland
2012-3-3 2.38977 stream
2012-3-3 0 lake
2012-3-4 9043.66 drain
2012-3-4 3524.66 overland
2012-3-4 2.34949 stream
2012-3-4 0 lake
2012-3-5 8807.24 drain
2012-3-5 121427 overland
2012-3-5 2.39073 stream
2012-3-5 0 lake
2012-3-6 8698.51 drain
2012-3-6 27808.7 overland
2012-3-6 2.4427 stream
2012-3-6 0 lake
2012-3-7 8586.87 drain
2012-3-7 27349.3 overland
2012-3-7 2.523 stream
2012-3-7 0 lake
2012-3-8 8497.98 drain
2012-3-8 27241.5 overland
2012-3-8 2.37938 stream
2012-3-8 0 lake
2012-3-9 8385.09 drain
2012-3-9 27144.7 overland
2012-3-9 2.4997 stream
2012-3-9 0 lake
2012-3-10 8572.58 drain
2012-3-10 27159.6 overland
2012-3-10 2.38035 stream
2012-3-10 0 lake
2012-3-11 12556.3 drain
2012-3-11 26766 overland
2012-3-11 2.45484 stream
2012-3-11 0 lake
2012-3-12 13953.1 drain
2012-3-12 4982.44 overland
2012-3-12 2.40774 stream
2012-3-12 0 lake
2012-3-13 11154.5 drain
2012-3-13 2127.67 overland
2012-3-13 2.4822 stream
2012-3-13 0 lake
2012-3-14 10036.2 drain
2012-3-14 24086.8 overland
2012-3-14 2.4943 stream
2012-3-14 0 lake
2012-3-15 9722.51 drain
2012-3-15 14788.4 overland
2012-3-15 2.4412 stream
2012-3-15 0 lake
2012-3-16 9449.35 drain
2012-3-16 9798.02 overland
2012-3-16 2.54055 stream
2012-3-16 0 lake
2012-3-17 9196.36 drain
2012-3-17 11751.7 overland
2012-3-17 2.48031 stream
2012-3-17 0 lake
2012-3-18 8997.84 drain
2012-3-18 18607.8 overland
2012-3-18 2.56819 stream
2012-3-18 0 lake
2012-3-19 8835.66 drain
2012-3-19 28017.5 overland
2012-3-19 2.5089 stream
2012-3-19 0 lake
2012-3-20 8960.54 drain
2012-3-20 30349.3 overland
2012-3-20 2.53217 stream
2012-3-20 0 lake
2012-3-21 8659.66 drain
2012-3-21 27180.2 overland
2012-3-21 2.48121 stream
2012-3-21 0 lake
