date value parameter land_use
2012-1-5 0.449902 theta_EHD loc2
2012-1-5 112.476 sw_EHD loc2
2012-1-5 0.322955 theta_soil loc2
2012-1-5 0 dsc loc2
2012-1-5 2.45058 infil2 loc1
2012-1-5 0 infil loc1
2012-1-5 0 toDistribute loc1
2012-1-5 0 dailySurplus loc1
2012-1-5 3.66306 availablePoreDepth loc1
2012-1-5 133.333 EHD loc1
2012-1-5 3920.73 SD loc1
2012-1-5 -4.05406 G loc1
2012-1-5 0.406148 theta_EHD loc1
2012-1-5 54.1529 sw_EHD loc1
2012-1-5 0.330808 theta_soil loc1
2012-1-5 0 dsc loc1
2012-1-6 0 infil2 loc3
2012-1-6 0 infil loc3
2012-1-6 0 toDistribute loc3
2012-1-6 0 dailySurplus loc3
2012-1-6 225 availablePoreDepth loc3
2012-1-6 500 EHD loc3
2012-1-6 3781.65 SD loc3
2012-1-6 -4.28165 G loc3
2012-1-6 0.45 theta_EHD loc3
2012-1-6 225 sw_EHD loc3
2012-1-6 0.451186 theta_soil loc3
2012-1-6 0 dsc loc3
2012-1-6 0 infil2 loc2
2012-1-6 0 infil loc2
2012-1-6 0 toDistribute loc2
2012-1-6 0 dailySurplus loc2
2012-1-6 12.5245 availablePoreDepth loc2
2012-1-6 250 EHD loc2
2012-1-6 4055.47 SD loc2
2012-1-6 -4.30547 G loc2
2012-1-6 0.449902 theta_EHD loc2
2012-1-6 112.476 sw_EHD loc2
2012-1-6 0.318547 theta_soil loc2
2012-1-6 0 dsc loc2
2012-1-6 0 infil2 loc1
2012-1-6 0 infil loc1
2012-1-6 0 toDistribute loc1
2012-1-6 0 dailySurplus loc1
2012-1-6 6.11364 availablePoreDepth loc1
2012-1-6 133.333 EHD loc1
2012-1-6 3891.18 SD loc1
2012-1-6 -4.02451 G loc1
2012-1-6 0.406148 theta_EHD loc1
2012-1-6 54.1529 sw_EHD loc1
2012-1-6 0.33332 theta_soil loc1
2012-1-6 0.441393 dsc loc1
2012-1-7 0 infil2 loc3
2012-1-7 3.4133 Qd loc3
2012-1-7 0 infil loc3
2012-1-7 0 toDistribute loc3
2012-1-7 0 dailySurplus loc3
2012-1-7 225 availablePoreDepth loc3
2012-1-7 500 EHD loc3
2012-1-7 3781.5 SD loc3
2012-1-7 -4.27809 G loc3
2012-1-7 0.45 theta_EHD loc3
2012-1-7 225 sw_EHD loc3
2012-1-7 0.450301 theta_soil loc3
2012-1-7 0 dsc loc3
2012-1-7 0 infil2 loc2
2012-1-7 0 infil loc2
2012-1-7 0 toDistribute loc2
2012-1-7 0 dailySurplus loc2
2012-1-7 12.5245 availablePoreDepth loc2
2012-1-7 250 EHD loc2
2012-1-7 4105.95 SD loc2
2012-1-7 -4.35595 G loc2
2012-1-7 0.449902 theta_EHD loc2
2012-1-7 112.476 sw_EHD loc2
2012-1-7 0.314631 theta_soil loc2
2012-1-7 0 dsc loc2
2012-1-7 1.63944 infil2 loc1
2012-1-7 0 infil loc1
2012-1-7 0 toDistribute loc1
2012-1-7 0 dailySurplus loc1
2012-1-7 6.11364 availablePoreDepth loc1
2012-1-7 133.333 EHD loc1
2012-1-7 3862.88 SD loc1
2012-1-7 -3.99622 G loc1
2012-1-7 0.393852 theta_EHD loc1
2012-1-7 52.5134 sw_EHD loc1
2012-1-7 0.336186 theta_soil loc1
2012-1-7 0.441393 dsc loc1
2012-1-8 0 infil2 loc3
2012-1-8 0 infil loc3
2012-1-8 0 toDistribute loc3
2012-1-8 0 dailySurplus loc3
2012-1-8 225 availablePoreDepth loc3
2012-1-8 500 EHD loc3
2012-1-8 3781.22 SD loc3
2012-1-8 -4.28122 G loc3
2012-1-8 0.45 theta_EHD loc3
2012-1-8 225 sw_EHD loc3
2012-1-8 0.450334 theta_soil loc3
2012-1-8 0 dsc loc3
2012-1-8 0 infil2 loc2
2012-1-8 0 infil loc2
2012-1-8 0 toDistribute loc2
2012-1-8 0 dailySurplus loc2
2012-1-8 12.5245 availablePoreDepth loc2
2012-1-8 250 EHD loc2
2012-1-8 4152.1 SD loc2
2012-1-8 -4.4021 G loc2
2012-1-8 0.449902 theta_EHD loc2
2012-1-8 112.476 sw_EHD loc2
2012-1-8 0.311134 theta_soil loc2
2012-1-8 0 dsc loc2
2012-1-8 0 infil2 loc1
2012-1-8 0 infil loc1
2012-1-8 0 toDistribute loc1
2012-1-8 0 dailySurplus loc1
2012-1-8 7.75309 availablePoreDepth loc1
2012-1-8 133.333 EHD loc1
2012-1-8 3835.83 SD loc1
2012-1-8 -3.96916 G loc1
2012-1-8 0.393852 theta_EHD loc1
2012-1-8 52.5134 sw_EHD loc1
2012-1-8 0.338557 theta_soil loc1
2012-1-8 0.441393 dsc loc1
2012-1-9 0 infil2 loc3
2012-1-9 0 infil loc3
2012-1-9 0 toDistribute loc3
2012-1-9 0 dailySurplus loc3
2012-1-9 225 availablePoreDepth loc3
2012-1-9 500 EHD loc3
2012-1-9 3781.07 SD loc3
2012-1-9 -4.28107 G loc3
2012-1-9 0.45 theta_EHD loc3
2012-1-9 225 sw_EHD loc3
2012-1-9 0.450352 theta_soil loc3
2012-1-9 0 dsc loc3
2012-1-9 0 infil2 loc2
2012-1-9 0 infil loc2
2012-1-9 0 toDistribute loc2
2012-1-9 0 dailySurplus loc2
2012-1-9 12.5245 availablePoreDepth loc2
2012-1-9 250 EHD loc2
2012-1-9 4194.44 SD loc2
2012-1-9 -4.44444 G loc2
2012-1-9 0.449902 theta_EHD loc2
2012-1-9 112.476 sw_EHD loc2
2012-1-9 0.307993 theta_soil loc2
2012-1-9 0 dsc loc2
2012-1-9 0 infil2 loc1
2012-1-9 0 infil loc1
2012-1-9 0 toDistribute loc1
2012-1-9 0 dailySurplus loc1
2012-1-9 7.75309 availablePoreDepth loc1
2012-1-9 133.333 EHD loc1
2012-1-9 3809.98 SD loc1
2012-1-9 -3.94331 G loc1
2012-1-9 0.393852 theta_EHD loc1
2012-1-9 52.5134 sw_EHD loc1
2012-1-9 0.340854 theta_soil loc1
2012-1-9 0.441393 dsc loc1
2012-1-10 0 infil2 loc3
2012-1-10 0 infil loc3
